file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
src/main/java/libcore/io/DiskLruCache.java,libcore.io.DiskLruCache$Anonymous1,anonymous,21,128,10,79,82,48,3,29,19,0,0,0,0,8,32,9,0,27,0,5,24,0,26,865,32,14,26,10,1,39,31,89,20,68,11,2,3,0,580,86
src/main/java/libcore/io/OsConstants.java,libcore.io.OsConstants,class,1,110,1,4,167,19,18,16,3,0,0,0,0,0,399,399,399,0,0,0,399,0,404,729,107,0,100,0,12,90,10,399,2,399,1,0,0,0,57,17
src/main/java/libcore/io/IoUtils.java,libcore.io.IoUtils,class,1,13,1,6,6,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,0,1,3,2,0,2,0,1,2,1,2,0,0,0,35,17
src/main/java/libcore/io/BufferIterator.java,libcore.io.BufferIterator,class,2,7,1,0,21,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,51,1025
src/main/java/libcore/io/AsynchronousCloseMonitor.java,libcore.io.AsynchronousCloseMonitor,class,0,2,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17
src/test/java/libcore/net/ssl/SslContextBuilder.java,libcore.net.ssl.SslContextBuilder,class,4,7,1,35,8,5,0,2,3,0,0,0,0,0,4,1,0,4,0,0,2,0,13,67,4,0,0,1,0,11,5,18,4,18,1,0,0,0,98,17
src/test/java/libcore/net/spdy/MockSpdyPeer.java,libcore.net.spdy.MockSpdyPeer$Anonymous1,anonymous,10,17,4,19,7,10,0,8,2,0,0,0,0,0,10,0,3,7,0,0,8,0,3,117,4,1,4,1,0,2,3,24,0,21,4,2,1,0,73,35
src/test/java/libcore/net/spdy/SpdyConnectionTest.java,libcore.net.spdy.SpdyConnectionTest,class,9,3,3,27,0,3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,9,66,0,0,0,0,0,23,12,21,0,13,0,2,-1,0,40,16
src/test/java/libcore/net/http/ExternalSpdyExample.java,libcore.net.http.ExternalSpdyExample,class,2,3,2,8,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,1,1,0,1,3,0,5,1,5,1,2,-1,0,31,16
src/test/java/libcore/net/http/NewURLConnectionTest.java,libcore.net.http.NewURLConnectionTest,class,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17
src/test/java/libcore/net/http/URLConnectionTest.java,libcore.net.http.URLConnectionTest$RecordingHostnameVerifier,subclass,45,222,22,194,2542,156,2,122,25,4,5,2,0,0,8,3,0,8,0,0,5,0,145,1744,18,8,17,35,1,685,118,196,21,191,1,24,-13,0,542,25
