file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpTransport.java,libcore.net.http.HttpTransport$FixedLengthInputStream,subclass,4,11,3,8,0,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,45,4,0,6,0,0,1,8,4,0,2,1,0,0,0,41,10
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpTransport.java,libcore.net.http.HttpTransport$UnknownLengthHttpInputStream,subclass,4,10,3,7,4,4,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,38,5,0,3,0,0,0,4,3,0,2,1,0,0,0,43,26
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/AbstractHttpInputStream.java,libcore.net.http.AbstractHttpInputStream,class,3,12,2,6,5,6,0,1,0,4,1,0,5,0,5,0,0,2,3,0,4,0,1,55,1,0,5,0,0,1,0,6,0,6,1,0,0,0,111,1024
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/AbstractHttpOutputStream.java,libcore.net.http.AbstractHttpOutputStream,class,1,3,2,1,1,2,0,1,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,15,0,0,0,0,0,1,0,0,0,1,1,0,0,0,38,1024
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/RequestHeaders.java,libcore.net.http.RequestHeaders$Anonymous1,anonymous,1,6,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,5,0,5,0,0,1,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/RequestHeaders.java,libcore.net.http.RequestHeaders,class,4,60,1,14,298,32,0,32,0,0,0,0,0,0,18,0,0,18,0,0,2,0,4,244,21,2,11,1,0,38,6,33,0,24,3,1,0,0,137,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/ResponseHeaders.java,libcore.net.http.ResponseHeaders,class,8,100,1,44,336,32,1,28,4,0,0,0,0,0,22,2,0,22,0,0,4,0,17,371,41,5,26,1,1,35,25,51,10,45,3,1,0,0,229,17
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/ResponseHeaders.java,libcore.net.http.ResponseHeaders$Anonymous1,anonymous,1,7,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0,0,6,0,6,0,0,1,1,-1,0,0,-1
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/Challenge.java,libcore.net.http.Challenge,class,1,3,1,2,0,3,0,2,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,18,2,0,0,0,2,0,1,2,2,2,0,0,0,0,12,16
/home/jovyan/work/toolkit/../dataSets/okhttpStudy/okhttp/src/main/java/libcore/net/http/HttpEngine.java,libcore.net.http.HttpEngine$Anonymous1,anonymous,0,2,1,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,1,0,1,0,1,0,1,-1,0,0,-1
